Dataset_ID,SMILES
hsp90_1,Oc1ccccc1N2C(=O)Nc3cc(ccc23)C(F)(F)F
hsp90_2,Oc1ccc(cc1N2C(=O)Nc3ccccc23)C(F)(F)F
hsp90_3,Oc1ccc(N2C(=O)Nc3cc(ccc23)C(F)(F)F)c(O)c1
hsp90_4,Oc1ccc(N2C(=O)Nc3ccccc23)c(O)c1
hsp90_5,Oc1ccc(O)c(c1)N2C(=O)Nc3ccccc23
hsp90_6,CC(C)(C)c1ccc(O)c(c1)N2C(=O)Nc3cc(ccc23)C(F)(F)F
hsp90_7,Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(ccc23)C#N
hsp90_8,NS(=O)(=O)c1ccc2N(C(=O)Nc2c1)c3cc(Cl)c(O)cc3O
hsp90_9,Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(ccc23)[N+](=O)[O-]
hsp90_10,Oc1ccccc1c2cc(N3C(=O)Nc4ccccc34)c(O)cc2O
hsp90_11,Oc1cc(O)c(cc1N2C(=O)Nc3ccccc23)c4ccc(Cl)cc4
hsp90_12,CCCc1cc(N2C(=O)Nc3ccccc23)c(O)cc1O
hsp90_13,COC(=O)c1cc(N2C(=O)Nc3cc(cc(Cl)c23)C(F)(F)F)c(O)cc1OC
hsp90_14,COC(=O)c1ccc2N(C(=O)Nc2c1)c3cc(Br)c(O)cc3O
hsp90_15,CC(C)c1ccc(O)c(c1)c2cc(N3C(=O)Nc4cc(ccc34)C(F)(F)F)c(O)cc2O
hsp90_16,Oc1cc(O)c(cc1N2C(=O)Nc3cc(ccc23)C(F)(F)F)c4ccc(c(F)c4)c5ccccc5
hsp90_17,Oc1cc(O)c(cc1N2C(=O)Nc3cc(ccc23)C(F)(F)F)c4cccc(c4)C(=O)NC5CCCC5
hsp90_18,Oc1cc(O)c(cc1CCC2CCCCC2)N3C(=O)Nc4ccccc34
hsp90_19,Oc1cc(O)c(cc1Cl)N2C(=O)Nc3ccc(cc23)c4ccccc4
hsp90_20,Oc1cc(O)c(cc1N2C(=O)Nc3cc(ccc23)C(F)(F)F)c4ccc(OC(F)(F)F)cc4
hsp90_21,Oc1cc(O)c(cc1N2C(=O)Nc3cc(ccc23)C(F)(F)F)c4ccc(Cl)cc4Cl
hsp90_22,Oc1cc(O)c(cc1N2C(=O)Nc3cc(ccc23)C(F)(F)F)c4cccc(c4)C(F)(F)F
hsp90_23,Oc1cc(O)c(cc1N2C(=O)Nc3ccccc23)c4ccnc5ccccc45
hsp90_24,COc1cc(cc(OC)c1OC)c2cc(N3C(=O)Nc4ccccc34)c(O)cc2O
hsp90_25,Oc1cc(O)c(cc1CCc2ccc(F)cc2)N3C(=O)Nc4ccccc34
hsp90_26,Oc1cc(O)c(cc1N2C(=O)Nc3ccccc23)c4ccc(Cl)cc4Cl
hsp90_27,Oc1cc(O)c(cc1N2C(=O)Nc3cc(ccc23)C(F)(F)F)c4cccc(OC(F)(F)F)c4
hsp90_28,COc1ccccc1c2cc(N3C(=O)Nc4ccccc34)c(O)cc2O
hsp90_29,OCc1cc(O)c(cc1Cl)N2C(=O)Nc3ccccc23
hsp90_30,Oc1cc(CBr)c(Cl)cc1N2C(=O)Nc3ccccc23
hsp90_31,Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(CNC(=O)c4ccccc4)ccc23
hsp90_32,Cc1ccc(cc1)S(=O)(=O)NCc2ccc3N(C(=O)Nc3c2)c4cc(Cl)c(O)cc4O
hsp90_33,Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(CNC(=O)Nc4ccccc4)ccc23
hsp90_34,Oc1cc(O)c(cc1N2C(=O)Nc3ccccc23)c4cccnc4O
hsp90_35,CC1c2cc(N3C(=O)Nc4ccccc34)c(O)cc2OC1(C)C
hsp90_36,Oc1cc(O)c(cc1CCc2ccc(Cl)cc2)N3C(=O)Nc4ccccc34
hsp90_37,Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(CNS(=O)(=O)c4ccc(Cl)cc4)ccc23
hsp90_38,CC(C)c1ccc(cc1)S(=O)(=O)NCc2ccc3N(C(=O)Nc3c2)c4cc(Cl)c(O)cc4O
hsp90_39,Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(CNS(=O)(=O)c4cccc5ccccc45)ccc23
