Cmpd_ID,SMILES
MAP01,COc1cc(ccc1O)-c1cnc(c2nccn12)Nc1ccc(cc1)N1CCN(C)CC1
MAP02,CN1CCN(CC1)c1ccc(cc1)-c1cnc2[nH]c3c(nc(nc3c2c1)-c1cnn(c1)C)C
MAP03,Nc1ncnc2sc3c(c12)CCCC3
MAP04,Cc1cc(c2c(c(sc2n1)C#N)N)C
MAP05,NC(=O)c1ccccc1NC(=O)c1ccc(o1)-c1cccc(c1)Cl
MAP06,CC(=O)NCC1Cc2cc(cc(c2O1)-c1ccncc1)Cl
MAP07,Clc1ccccc1-c1cc2cc(ncc2[nH]1)NC(=O)C1CC1
MAP08,Cn1c(cc2cnc(cc12)NC(=O)C1CC1)-c1ccccc1Cl
MAP09,FC(F)(F)Cn1c(cc2cc(ncc12)NC(=O)C1CC1)-c1ccccc1Cl
MAP11,N#Cc1cccc(c1)-c1cc2c(ncnn2c1)Nc1ccncc1
MAP12,CNC(=O)c1ccc-2c(c1)OCCc1cc(sc12)-c1ccnn1-c1ccc(cc1F)F
MAP13,CNC(=O)c1ccc-2c(c1)OCCn1nc(cc12)-c1ncnn1-c1ccc(cc1F)F
MAP14,CN(C)CCC(=O)Nc1cc(cc(c1)-c1ccc2ncnc(c2c1)N)F
MAP15,Cc1c[nH]nc1C1CCCN(C1)c1ccc2ncnc(c2n1)N
MAP16,Nc1ncnc2ccc(nc12)N1CCC(C1)Cc1ccccn1
MAP17,CNC(=O)c1ccc-2c(c1)OCCn1nc(c(c12)C)-c1ncnn1-c1ccc(cc1F)F
MAP18,Nc1ncc(c2ccc(cc12)-c1cccc(c1)F)C(=O)N[C@H]1CCC[C@@H](O)C1
MAP19,Cc1c[nH]nc1-c1cccc(c1)-c1ccc2ncnc(c2n1)N
MAP20,O=C(Nc1ccnc(n1)-c1cccnc1)c1ccco1
MAP21,Nc1ncncc1-c1ccc(cc1)O
MAP22,Nc1cccc(c1)-c1cnc(nc1)N
MAP23,Cc1cccc(n1)Oc1cccc(c1)-c1ccc2ncnc(c2n1)N
MAP25,CC1(CO)Cc2cc(cc(c2O1)-c1ccnc(c1)NC(=O)c1ccccn1)Cl
MAP26,c1cc(cc(c1)Br)NC(=O)c2cc[nH]n2
MAP27,CCn1c2c(c(ncn2)N)nc1Nc3ccccc3
MAP28,COc1ccc-2c(c1)CCc3c2cn[nH]3
MAP29,c1ccc(cc1)c2c(c[nH]n2)c3ccncc3
MAP30,Cn1c2ccc3c(c2nc1N)cccn3
MAP31,c1cc(cc(c1)F)c2c(cn[nH]2)c3ccncc3
MAP32,Cc1c(c(=O)[nH][nH]1)c2ccccc2
